"Local", Área da unidade territorial
"Alcobaça", 1477.929
"Almadina", 245.236
"Anagé", 1899.683
"Arataca", 435.962
"Aurelino Leal", 445.394
"Barra do Choça", 765.936
"Barro Preto", 201.585
"Belmonte", 1939.447
"Belo Campo", 772.756
"Bom Jesus da Serra", 467.813
"Buerarema", 219.487
"Caatiba", 512.436
"Caculé", 610.983
"Camacan", 584.848
"Canavieiras", 1334.284
"Candiba", 433.642
"Cândido Sales", 1169.814
"Caraíbas", 805.629
"Caravelas", 2377.889
"Coaraci", 274.500
"Condeúba", 1348.039
"Cordeiros", 523.640
"Dário Meira", 413.637
"Encruzilhada", 1890.133
"Eunápolis", 1425.970
"Firmino Alves", 172.353
"Floresta Azul", 321.013
"Guajeru", 872.867
"Guaratinga", 2189.404
"Ibicaraí", 230.953
"Ibicuí", 1139.378
"Ibirapuã", 771.098
"Iguaí", 860.223
"Ilhéus", 1588.555
"Itabela", 924.914
"Itabuna", 401.028
"Itagimirim", 876.800
"Itaju do Colônia", 1225.287
"Itajuípe", 270.752
"Itamaraju", 2360.584
"Itambé", 1534.575
"Itanhém", 1394.174
"Itapé", 453.144
"Itapebi", 1013.074
"Itapetinga", 1651.158
"Itapitanga", 420.663
"Itarantim", 1674.029
"Itororó", 313.839
"Jacaraci", 1332.420
"Jucuruçu", 1457.656
"Jussari", 329.190
"Lajedão", 624.353
"Licínio de Almeida", 856.626
"Macarani", 1210.106
"Maetinga", 614.834
"Maiquinique", 588.297
"Mascote", 742.689
"Medeiros Neto", 1311.739
"Mortugaba", 528.214
"Mucuri", 1787.626
"Nova Canaã", 804.617
"Nova Viçosa", 1316.379
"Pau Brasil", 626.306
"Pindaí", 628.468
"Piripá", 511.756
"Planalto", 769.000
"Poções", 937.269
"Porto Seguro", 2285.734
"Potiraguá", 1111.567
"Prado", 1692.100
"Presidente Jânio Quadros", 1208.549
"Ribeirão do Largo", 1363.700
"Santa Cruz Cabrália", 1462.942
"Santa Cruz da Vitória", 284.083
"Santa Luzia", 824.473
"São José da Vitória", 127.925
"Sebastião Laranjeiras", 1984.511
"Teixeira de Freitas", 1165.622
"Tremedal", 2010.316
"Una", 1126.733
"Urandi", 902.402
"Uruçuca", 510.098
"Vereda", 782.159
"Vitória da Conquista", 3254.186
"Abaíra", 538.677
"Abaré", 1604.923
"Acajutiba", 181.475
"Adustina", 629.099
"Água Fria", 742.775
"Érico Cardoso", 735.249
"Aiquara", 167.877
"Alagoinhas", 707.835
"Amargosa", 431.673
"Amélia Rodrigues", 166.872
"América Dourada", 822.373
"Andaraí", 1590.316
"Andorinha", 1362.386
"Angical", 1530.050
"Anguera", 187.840
"Antas", 319.745
"Antônio Cardoso", 293.530
"Antônio Gonçalves", 345.284
"Aporá", 479.262
"Apuarema", 150.830
"Araçás", 474.577
"Araci", 1496.245
"Aramari", 368.947
"Aratuípe", 174.012
"Baianópolis", 3320.723
"Baixa Grande", 967.514
"Banzaê", 409.507
"Barra", 11428.112
"Barra da Estiva", 1657.413
"Barra do Mendes", 1586.629
"Barra do Rocha", 214.411
"Barreiras", 8051.274
"Barro Alto", 414.510
"Barrocas", 207.297
"Biritinga", 553.762
"Boa Vista do Tupim", 2972.109
"Bom Jesus da Lapa", 4115.510
"Boninal", 896.857
"Bonito", 791.276
"Boquira", 1426.233
"Botuporã", 627.612
"Brejões", 518.566
"Brejolândia", 2247.208
"Brotas de Macaúbas", 2370.486
"Buritirama", 4046.736
"Cabaceiras do Paraguaçu", 222.026
"Cachoeira", 394.894
"Caém", 540.908
"Cafarnaum", 643.660
"Cairu", 448.846
"Caldeirão Grande", 458.311
"Camaçari", 785.421
"Camamu", 839.702
"Campo Alegre de Lourdes", 2914.587
"Campo Formoso", 7161.827
"Canápolis", 460.388
"Canarana", 579.726
"Candeal", 447.578
"Candeias", 251.808
"Cansanção", 1351.891
"Canudos", 3565.377
"Capela do Alto Alegre", 629.586
"Capim Grosso", 464.776
"Cardeal da Silva", 293.456
"Casa Nova", 9647.072
"Castro Alves", 713.789
"Catolândia", 702.504
"Catu", 426.955
"Caturama", 716.261
"Central", 566.974
"Chorrochó", 3005.319
"Cícero Dantas", 819.969
"Cipó", 168.330
"Conceição da Feira", 164.798
"Conceição do Almeida", 284.836
"Conceição do Coité", 1015.252
"Conceição do Jacuípe", 114.869
"Conde", 931.106
"Contendas do Sincorá", 977.455
"Coração de Maria", 378.420
"Coribe", 2662.819
"Coronel João Sá", 797.434
"Correntina", 11504.314
"Cotegipe", 4282.775
"Cravolândia", 182.585
"Crisópolis", 636.609
"Cristópolis", 1052.837
"Cruz das Almas", 139.117
"Curaçá", 5950.614
"Dias d'Ávila", 183.759
"Dom Basílio", 689.516
"Dom Macedo Costa", 94.778
"Elísio Medrado", 179.329
"Entre Rios", 1187.766
"Esplanada", 1299.355
"Euclides da Cunha", 2025.368
"Fátima", 364.419
"Feira de Santana", 1304.425
"Filadélfia", 579.686
"Formosa do Rio Preto", 15634.328
"Gandu", 229.631
"Gavião", 384.592
"Gentio do Ouro", 3817.946
"Glória", 1566.609
"Governador Mangabeira", 106.848
"Heliópolis", 313.438
"Iaçu", 2342.497
"Ibicoara", 817.355
"Ibipeba", 1382.008
"Ibipitanga", 954.373
"Ibiquera", 698.245
"Ibirataia", 318.129
"Ibitiara", 1834.002
"Ibititá", 573.033
"Ibotirama", 1740.113
"Ichu", 138.016
"Igaporã", 836.586
"Igrapiúna", 591.312
"Inhambupe", 1082.283
